Year,School,School_Consistant,Type,LearningCommunity,lon,lat,AMINMale,AMINFemale,AMIN_Pop,AMIN_Prcnt,AMINPercent,AsianMale,AsianFemale,Asian_Pop,Asian_Prcnt,AsianPercent,HispanicMale,HispanicFemale,Hispanic_Pop,Hispanic_Prcnt,HispanicPercent,BlackMale,BlackFemale,Black_Pop,Black_Prcnt,BlackPercent,WhiteMale,WhiteFemale,White_Pop,White_Prcnt,WhitePercent,PacificIslandMale,PacificIslandFemale,Pacific_Pop,Pacific_Prcnt,PacificPercent,TwoorMoreMale,TwoorMoreFemale,Mixed_Pop,Mixed_Prcnt,TwoorMorePercent,Total,Diverse1,Diverse2,Diverse3
2008,ALBEMARLE ROAD ELEM,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,0,2,2,0.224,0.002,15,6,21,2.349,0.023,188,188,376,42.058,0.421,233,217,450,50.336,0.503,24,21,45,5.034,0.05,0,0,0,0,0,0,0,0,0,0,894,0,1,1
2009,ALBEMARLE ROAD ELEM,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,0,1,1,0.105,0.001,17,12,29,3.053,0.031,211,223,434,45.684,0.457,237,209,446,46.947,0.469,17,23,40,4.211,0.042,0,0,0,0,0,0,0,0,0,0,950,0,1,1
2010,ALBEMARLE ROAD ELEM,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,0,1,1,0.104,0.001,27,25,52,5.417,0.054,218,227,445,46.354,0.464,203,214,417,43.438,0.434,20,25,45,4.688,0.047,0,0,0,0,0,0,0,0,0,0,960,0,1,1
2011,ALBEMARLE ROAD ELEMENTARY,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,1,0,1,0.104,0.001,29,33,62,6.472,0.065,199,224,423,44.154,0.442,205,186,391,40.814,0.408,20,21,41,4.28,0.043,0,0,0,0,0,23,17,40,4.175,0.042,958,0,1,1
2012,ALBEMARLE ROAD ELEMENTARY,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,3,0,3,0.294,0.003,48,37,85,8.342,0.083,228,225,453,44.455,0.445,213,201,414,40.628,0.406,25,22,47,4.612,0.046,0,0,0,0,0,11,6,17,1.668,0.017,1019,0,1,1
2013,ALBEMARLE ROAD ELEMENTARY,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,2,4,6,0.558,0.006,41,50,91,8.457,0.085,270,253,523,48.606,0.486,202,200,402,37.361,0.374,20,18,38,3.532,0.035,0,0,0,0,0,12,4,16,1.487,0.015,1076,0,1,1
2014,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,2,1,3,0.248,0.002,42,57,99,8.175,0.082,354,309,663,54.748,0.547,196,183,379,31.296,0.313,26,26,52,4.294,0.043,0,1,1,0.083,0.001,11,3,14,1.156,0.012,1211,0,1,1
2015,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,3,5,8,0.6,0.006,60,58,118,8.852,0.089,384,332,716,53.713,0.537,217,209,426,31.958,0.32,26,21,47,3.526,0.035,0,1,1,0.075,0.001,12,5,17,1.275,0.013,1333,0,1,1
2016,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,3,7,10,0.884,0.009,64,39,103,9.107,0.091,335,281,616,54.465,0.545,180,165,345,30.504,0.305,23,19,42,3.714,0.037,2,5,7,0.619,0.006,4,4,8,0.707,0.007,1131,0,1,1
2017,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,3,2,5,0.428,0.004,76,51,127,10.864,0.109,330,298,628,53.721,0.537,180,174,354,30.282,0.303,27,15,42,3.593,0.036,2,3,5,0.428,0.004,5,3,8,0.684,0.007,1169,0,1,1
2018,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,2,1,3,0.277,0.003,87,66,153,14.114,0.141,318,256,574,52.952,0.53,157,151,308,28.413,0.284,22,16,38,3.506,0.035,3,1,4,0.369,0.004,3,1,4,0.369,0.004,1084,0,1,1
2019,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,0,1,1,0.113,0.001,59,47,106,11.977,0.12,258,195,453,51.186,0.512,146,140,286,32.316,0.323,17,14,31,3.503,0.035,3,2,5,0.565,0.006,1,2,3,0.339,0.003,885,0,1,1
2020,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,Elementary,Southeast,-80.7295137,35.1970888,0,0,0,0,0,68,52,120,14.337,0.143,241,177,418,49.94,0.499,125,142,267,31.9,0.319,12,10,22,2.628,0.026,3,2,5,0.597,0.006,1,4,5,0.597,0.006,837,0,1,1
2008,ALBEMARLE ROAD MID,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,2,0,2,0.253,0.003,21,13,34,4.309,0.043,129,140,269,34.094,0.341,214,220,434,55.006,0.55,25,25,50,6.337,0.063,0,0,0,0,0,0,0,0,0,0,789,0,1,1
2009,ALBEMARLE ROAD MID,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,3,1,4,0.501,0.005,20,11,31,3.885,0.039,128,137,265,33.208,0.332,233,206,439,55.013,0.55,32,27,59,7.393,0.074,0,0,0,0,0,0,0,0,0,0,798,0,1,1
2010,ALBEMARLE ROAD MID,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,2,0,2,0.245,0.002,23,11,34,4.167,0.042,143,130,273,33.456,0.335,241,210,451,55.27,0.553,28,28,56,6.863,0.069,0,0,0,0,0,0,0,0,0,0,816,0,1,1
2011,ALBEMARLE ROAD MIDDLE,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,2,0,2,0.245,0.002,24,16,40,4.908,0.049,136,134,270,33.129,0.331,212,209,421,51.656,0.517,28,29,57,6.994,0.07,0,0,0,0,0,15,10,25,3.067,0.031,815,0,1,1
2012,ALBEMARLE ROAD MIDDLE,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,4,1,5,0.492,0.005,27,23,50,4.921,0.049,159,175,334,32.874,0.329,245,282,527,51.87,0.519,35,30,65,6.398,0.064,0,0,0,0,0,14,21,35,3.445,0.034,1016,0,1,1
2013,ALBEMARLE ROAD MIDDLE,ALBEMARLE ROAD MIDDLE,Middle,Southeast,-80.7300693,35.1990332,4,1,5,0.449,0.004,39,20,59,5.296,0.053,176,216,392,35.189,0.352,269,288,557,50,0.5,37,33,70,6.284,0.063,0,0,0,0,0,14,17,31,2.783,0.028,1114,0,1,1
